d,eccentricity,overlap,seed,n_samples,n_components,n_seeds_total,algorithm,ARI,NMI,fit_time,mean_loglik,silhouette,davies_bouldin,calinski_harabasz
10,1,0.2,1,500,3,3,GMM,0.4513966283137453,0.6510356872536484,0.07859563827514648,-15.521069269558469,0.17384936322650976,2.4737221740595814,120.16984246196918
10,1,0.2,1,500,3,3,KMeans,1.0,1.0,0.18163204193115234,,0.4411362660770574,0.8848377857641222,409.61137025233757
10,1,0.2,2,500,3,3,GMM,0.993969818926683,0.9888285217650024,0.04167294502258301,-15.15113110134544,0.44360045529359704,0.8814276079021189,414.5141801424652
10,1,0.2,2,500,3,3,KMeans,0.993969818926683,0.9888285217650024,0.265270471572876,,0.44360045529359704,0.8814276079021189,414.5141801424652
10,1,0.4,0,500,3,3,GMM,0.9879215676614674,0.9776513257007606,0.03566122055053711,-14.924988514168561,0.3515072008607378,1.1064298097746175,271.309994275405
10,1,0.4,0,500,3,3,KMeans,0.993969818926683,0.9888285217650024,0.3329653739929199,,0.3516513903681919,1.1057384765231906,271.3510424041802
10,1,0.4,1,500,3,3,GMM,0.9819823290588805,0.9665076538446176,0.025115966796875,-15.13286881729691,0.3360143722147373,1.1335175401194137,249.47828754806042
10,1,0.4,1,500,3,3,KMeans,0.9760068021946873,0.9578755494456573,0.22655320167541504,,0.3364625127497071,1.1356876336099502,249.9414266300296
10,1,0.4,2,500,3,3,GMM,0.9700500434219901,0.9467254804527316,0.07141900062561035,-15.13017101033327,0.34033289311322784,1.1286641720013304,253.9218432255047
10,1,0.4,2,500,3,3,KMeans,0.9759712486166047,0.9578632425015704,0.23076295852661133,,0.34065115246802635,1.1299964725405134,254.38064436213486
10,1,0.6,0,500,3,3,GMM,0.9232594863930293,0.8884354672979834,0.12815642356872559,-14.863751620176679,0.22565502233283413,1.5291025488043049,144.2220586613749
10,1,0.6,0,500,3,3,KMeans,0.912028172531906,0.8746695700928333,0.18600034713745117,,0.22622104960222128,1.5281496260433223,144.69171706148632
10,1,0.6,1,500,3,3,GMM,0.8498979664721379,0.7913851532467145,0.08553910255432129,-15.028465141156003,0.21406128051073708,1.5611594279852945,132.32269662161784
10,1,0.6,1,500,3,3,KMeans,0.8831889709512525,0.830472884336069,0.3181753158569336,,0.21607935050222477,1.5481994350110622,133.88262513767077
10,1,0.6,2,500,3,3,GMM,0.8544372264027635,0.7895817488812481,0.11934471130371094,-15.006214971119766,0.22055324006197824,1.5341334859102282,136.51887031546124
10,1,0.6,2,500,3,3,KMeans,0.837557465561702,0.771835608645322,0.5867629051208496,,0.22239030767532594,1.5287857946179615,137.64322780288072
10,1,0.8,0,500,3,3,GMM,0.41697329394659594,0.3698340835542013,0.31763172149658203,-14.518510215593874,0.09971982433378221,2.344301347924875,58.61642468299906
